Incident ID,Date,Business Unit,Incident Type,Severity,Root Cause,Downtime (minutes),Customers Affected,Contractor Involved,SLA Breach,Vendor,Description
DU-INC-1001,2026-01-01,Data Centre & Cloud,Storage Failure,Critical,Process Gap,114,675884,No,Yes,Local Contractor B,SAN controller failure — redundant controller handled traffic. Vendor RMA in progress. Hardware on extended-support contract.
DU-INC-1002,2026-01-01,Data Centre & Cloud,Storage Failure,High,External Factor (cable cut / power),157,197579,No,Yes,Cisco,SAN controller failure — redundant controller handled traffic. Vendor RMA in progress. Hardware on extended-support contract.
DU-INC-1003,2026-01-02,IT Systems,Billing System Error,Medium,Hardware Failure,54,11246,Yes,No,AWS,Batch billing job failed overnight on IT Systems. Vendor-supplied job had a missing dependency after recent patch — UAT did not cover the new code path.
DU-INC-1004,2026-01-05,Radio Access Network,Cell Congestion,High,Capacity Planning Gap,87,168855,No,Yes,Cisco,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1005,2026-01-05,IT Systems,CRM Outage,Low,Change Management Failure,13,359,Yes,No,Local Contractor B,Salesforce-integrated CRM unavailable in retail for 13 minutes. Root cause traced to an unauthorised configuration change.
DU-INC-1006,2026-01-06,Security & Cyber,DDoS Attack,Medium,Software Defect,54,18446,No,No,AWS,"Volumetric DDoS attack targeting public DNS endpoint. Scrubbing engaged. Peak 18,446 packets/sec."
DU-INC-1007,2026-01-06,Radio Access Network,Hardware Failure,Medium,Human Error,31,18963,Yes,No,AWS,Disk array failure in Radio Access Network. Hot-spare engaged but rebuild took 31 minutes; RPO target missed by 6 minutes.
DU-INC-1008,2026-01-07,Security & Cyber,DDoS Attack,Medium,External Factor (cable cut / power),43,2181,No,No,Local Contractor A,"Volumetric DDoS attack targeting public DNS endpoint. Scrubbing engaged. Peak 2,181 packets/sec."
DU-INC-1009,2026-01-09,Radio Access Network,Cell Congestion,Critical,External Factor (cable cut / power),110,260778,No,Yes,Oracle,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1010,2026-01-10,Data Centre & Cloud,Cooling Failure,Medium,Configuration Drift,40,4952,No,No,Huawei,CRAC unit failure raised hot-aisle temperature; workload migrated within 40 minutes. Maintenance contract review needed.
DU-INC-1011,2026-01-10,Customer Apps & Digital,Payment Failure,Low,Change Management Failure,17,165,Yes,No,Cisco,Top-up failures from card payments — third-party PSP outage. Vendor SLA breach. 165 customers affected.
DU-INC-1012,2026-01-11,Transport & Backhaul,Capacity Saturation,Critical,Change Management Failure,426,708891,Yes,Yes,AWS,Traffic surge during peak hours saturated Transport & Backhaul. Capacity forecast had flagged this risk in the last quarterly review but no action was taken.
DU-INC-1013,2026-01-11,IT Systems,Integration Failure,Medium,Change Management Failure,42,4789,Yes,No,Oracle,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1014,2026-01-12,Transport & Backhaul,Capacity Saturation,High,Change Management Failure,137,145568,Yes,Yes,AWS,Traffic surge during peak hours saturated Transport & Backhaul. Capacity forecast had flagged this risk in the last quarterly review but no action was taken.
DU-INC-1015,2026-01-12,Radio Access Network,Hardware Failure,Low,Configuration Drift,12,688,Yes,No,Microsoft,Line card failure on Microsoft node. Hardware was end-of-support — replacement on the deferred-capex list.
DU-INC-1016,2026-01-12,Radio Access Network,Cell Congestion,Low,Process Gap,0,1346,No,No,Local Contractor A,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1017,2026-01-13,Transport & Backhaul,Hardware Failure,Medium,Software Defect,27,6965,No,No,Nokia,Line card failure on Nokia node. Hardware was end-of-support — replacement on the deferred-capex list.
DU-INC-1018,2026-01-13,IT Systems,Integration Failure,Low,Change Management Failure,20,316,Yes,No,Oracle,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1019,2026-01-14,IT Systems,Database Failure,Medium,External Factor (cable cut / power),30,6598,Yes,No,Cisco,Production DB went read-only after a failed schema migration. Migration ran outside the standard change window.
DU-INC-1020,2026-01-15,Security & Cyber,Credential Leak,Low,Hardware Failure,1,222,No,No,Microsoft,Leaked staff credentials found on dark web monitoring service. Forced password reset. No evidence of misuse yet.
DU-INC-1021,2026-01-15,IT Systems,CRM Outage,Medium,Change Management Failure,28,5598,Yes,No,Nokia,Salesforce-integrated CRM unavailable in retail for 28 minutes. Root cause traced to an unauthorised configuration change.
DU-INC-1022,2026-01-16,Core Network,Signalling Storm,High,Hardware Failure,161,8584,No,Yes,Nokia,Mass device re-registration triggered a signalling storm; suspect cause is an upstream Nokia firmware push without a coordinated change window on Core Network.
DU-INC-1023,2026-01-16,Transport & Backhaul,Capacity Saturation,Medium,Software Defect,11,7761,No,No,Local Contractor B,"Sustained 95%+ utilisation on Transport & Backhaul; throttling kicked in and degraded 7,761 customers' experience."
DU-INC-1024,2026-01-17,Customer Apps & Digital,Push Notification Failure,Medium,Change Management Failure,35,13438,Yes,No,Nokia,Push notifications failed for 6 hours; outage on Nokia notification service. Backlog drained slowly. Customer-facing comms were delayed.
