Issue ID,Date,Service Line,Issue Type,Severity,Root Cause,Hours Delayed,Fee at Risk (USD),Subcontractor Involved,Deadline Breach,Tool / Vendor,Description
DEL-ENG-1003,2026-01-01,Financial Advisory,Scope Creep,High,Resource Planning Gap,36,63011,No,No,ServiceNow,"Additional workstream added mid-engagement on Financial Advisory without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1030,2026-01-02,Risk Advisory,Client Data Risk,Low,Tooling / Platform Failure,3,452,Yes,No,Workiva,"Sensitive client data on Risk Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1060,2026-01-03,Cyber & Managed Services,Quality Review Finding,Low,Change Control Failure,2,6252,Yes,No,Local Subcontractor A,EQCR reviewer flagged inconsistent referencing in the Cyber & Managed Services deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1086,2026-01-03,Audit & Assurance,Access Provisioning Delay,Low,External Factor (client / regulator),4,2160,No,No,Alteryx,Client-system access for the Audit & Assurance team took 20 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1080,2026-01-04,Financial Advisory,Resource Shortfall,Medium,Human Error,14,25611,Yes,No,Microsoft,Two senior associates rolled off Financial Advisory to a higher-priority deal; replacement onboarding took 36 hours and slipped the milestone.
DEL-ENG-1093,2026-01-05,Consulting,Access Provisioning Delay,Low,Estimation Error,4,2095,No,No,Microsoft,Client-system access for the Consulting team took 18 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1088,2026-01-06,Risk Advisory,Quality Review Finding,Medium,Inadequate Review,5,58383,Yes,No,AWS,EQCR reviewer flagged inconsistent referencing in the Risk Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1008,2026-01-07,Technology & Transformation,Budget Overrun,Low,Resource Planning Gap,5,7235,No,No,ServiceNow,Technology & Transformation engagement tracking 3% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1079,2026-01-11,Tax & Legal,Access Provisioning Delay,Medium,Estimation Error,4,15546,Yes,No,ServiceNow,Client-system access for the Tax & Legal team took 24 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1083,2026-01-11,Risk Advisory,Milestone Slippage,Medium,Change Control Failure,15,42754,No,No,Workiva,"Risk Advisory milestone slipped 2 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1084,2026-01-11,Financial Advisory,Data Request Delay,Critical,Inadequate Review,96,294082,No,No,Tableau,Client provided source data 8 days late on Financial Advisory; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1095,2026-01-12,Consulting,Model Error,Critical,Quality Process Gap,24,480837,No,Yes,Workiva,"Formula error found in the Consulting valuation model — built by a subcontractor, deployed without an independent review pass."
DEL-ENG-1031,2026-01-13,Technology & Transformation,Budget Overrun,Medium,Independence / Compliance Gap,7,59102,No,No,Local Subcontractor B,Technology & Transformation engagement tracking 2% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1057,2026-01-13,Technology & Transformation,Subcontractor Quality Issue,Low,Human Error,6,8665,Yes,No,Alteryx,Subcontractor deliverable on Technology & Transformation returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1061,2026-01-13,Consulting,Platform Outage,Low,Inadequate Review,1,2998,No,Yes,AWS,AWS workpaper platform unavailable for 20 minutes during peak Consulting close; teams reverted to offline copies and re-synced.
DEL-ENG-1001,2026-01-16,Tax & Legal,Budget Overrun,Low,Human Error,6,1881,No,No,Local Subcontractor B,Tax & Legal engagement tracking 45% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1056,2026-01-16,Tax & Legal,Independence Conflict,Medium,Human Error,8,34178,Yes,No,AWS,Potential independence conflict identified late on Tax & Legal engagement; clearance re-run delayed the start by 18 hours.
DEL-ENG-1091,2026-01-16,Financial Advisory,Platform Outage,Low,External Factor (client / regulator),0,2986,No,No,SAP,SAP workpaper platform unavailable for 24 minutes during peak Financial Advisory close; teams reverted to offline copies and re-synced.
DEL-ENG-1018,2026-01-20,Financial Advisory,Subcontractor Quality Issue,High,Scope Definition Gap,14,162065,No,Yes,Alteryx,Subcontractor deliverable on Financial Advisory returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1087,2026-01-20,Tax & Legal,Milestone Slippage,High,Estimation Error,37,123578,No,Yes,Alteryx,"Tax & Legal milestone slipped 24 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1048,2026-01-21,Audit & Assurance,Sign-off Bottleneck,High,Human Error,8,158187,Yes,Yes,Local Subcontractor A,Single approver unavailable held up Audit & Assurance sign-off for 4 hours; no documented back-up approver on the engagement.
DEL-ENG-1076,2026-01-21,Financial Advisory,Quality Review Finding,Low,Resource Planning Gap,3,7296,Yes,No,ServiceNow,EQCR reviewer flagged inconsistent referencing in the Financial Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1053,2026-01-23,Consulting,Subcontractor Quality Issue,Medium,Estimation Error,16,30842,No,No,Local Subcontractor B,Subcontractor deliverable on Consulting returned below standard; QA gate had not been enforced before client submission.
